source_id,ra,dec,parallax,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag
4057558791122249984,266.15223946310016,-28.584542077796172,0.46309255961713497,15.586475,16.308794,14.66557
4057539579733191552,266.1523484969135,-28.733786209950537,0.7817512326955504,16.094208,16.945505,15.184585
4057102833098156416,266.1523598926802,-29.206380887909646,0.5338749628286482,16.687737,17.592382,15.738119
4057546730860532992,266.15250929610954,-28.635886739475993,1.4198139784705521,17.836317,18.69181,16.816378
4057104722883898624,266.1525884351643,-29.154756619457018,0.6120952003595501,16.633425,17.443645,15.735114
4057558683749137152,266.152663601302,-28.594274733950844,0.589188471634857,15.81568,16.899828,14.79721
4057533085742419072,266.15281674750906,-28.872057671123624,1.0956410498195468,18.343534,19.445656,17.3441
4057558786828374912,266.15287058063495,-28.58470905370976,0.9160886907023661,14.965186,15.466764,14.173122
4057562222802408832,266.1532279077881,-28.457148715139056,1.8600813194517838,16.031437,16.037512,14.559656
4057535834521626496,266.1532290350485,-28.78525228964003,0.7978675603934289,16.19053,17.033762,15.286679
4057559478317052288,266.15333581105057,-28.526800384300227,1.1704762363670986,18.630629,20.275564,17.005764
4057109533247587968,266.15339061918974,-29.022905453756213,0.5967447825883556,16.028967,16.805227,15.15185
4057535731442858880,266.15348417438565,-28.803517183690854,2.4523033963609193,19.041086,20.933338,17.794783
4057565383898390656,266.15354855899847,-28.40534947750334,0.7418980439581869,18.20583,19.263657,17.266174
4057532982663172352,266.1535667301713,-28.89389871698034,0.713001414776419,15.22456,16.008738,14.350268
4057546726558922752,266.15357532003407,-28.645511329294866,0.6140906022650613,17.589302,18.822975,16.518309
4057558683749112832,266.1536583232329,-28.60640224821243,0.7224628828301635,14.64172,15.179538,13.942814
4057485256986478976,266.15367028553544,-28.97043740706928,2.409747933346364,18.086548,19.519781,16.928917
4057485153907256448,266.15379145614816,-28.976717038748074,0.6105740019425996,16.520132,17.310461,15.626782
4057089334020216832,266.15398527591117,-29.32415151313249,0.5896817462866762,15.45631,16.19934,14.6019335
4057107987059238272,266.15406690367325,-29.08027726657887,0.5924232026518097,15.833827,16.652216,14.934634
4057532986965120512,266.1541135862695,-28.90403470449108,0.6854617433054693,13.659204,14.223936,12.928644
4057103039256685440,266.15425463167816,-29.16794693147298,0.6754605539733162,13.786742,14.73574,12.820499
4057083252346511488,266.1542819262844,-29.354560351406125,0.5624876516134977,17.027195,17.834953,16.126204
4057107991358246656,266.1544273845331,-29.089996677389397,0.8897046909010018,17.01633,17.868633,16.116837
4057558786828377472,266.15448258848846,-28.57963810437438,0.8268866252959498,18.0768,18.975248,17.120167
4057559439663470848,266.15450971089126,-28.546228749030096,0.6739614319814368,17.796375,18.71522,16.834948
4057107991358248320,266.15462865486455,-29.084800590929888,1.250396349245759,17.661503,18.934698,16.54091
4057560333016710656,266.15466846437107,-28.519350872086086,0.6136362880434854,17.865591,19.055332,16.8147
4057532986965123840,266.1549194287569,-28.887545252564237,0.5904589300256748,17.435158,18.437172,16.427141
